2025-02,2호선,0230,신림,138,16,"31,949","3,359","60,620","14,954","166,687","22,688","252,658","41,542","151,624","39,146","83,896","38,525","68,634","42,505","74,613","47,482","72,656","55,758","66,732","61,237","64,865","75,523","67,779","94,456","71,866","126,132","75,114","211,700","52,197","187,487","43,668","118,748","41,137","111,030","34,761","100,492","20,266","63,649","4,583","20,720",0,171,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0231,신대방,236,9,"20,291","1,655","30,746","7,981","82,305","12,501","123,088","22,594","74,619","16,353","40,860","16,275","33,230","17,221","34,224","20,089","33,760","23,860","28,660","27,379","27,759","35,984","29,481","42,357","30,623","57,261","29,789","85,327","18,554","74,870","13,951","51,730","11,458","52,495","9,063","48,371","4,298","28,309",829,"8,354",6,34,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0232,구로디지털단지,228,11,"33,718","4,098","47,533","18,431","128,934","77,478","173,819","220,003","105,834","132,504","64,607","55,548","58,588","43,307","66,592","48,344","66,874","61,334","61,068","58,704","65,807","63,770","78,360","77,177","130,951","103,997","199,787","154,047","97,918","126,222","61,226","82,021","50,167","78,498","38,610","74,514","18,183","42,399","3,377","13,008",2,47,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0233,대림(구로구청),461,9,"29,808","2,573","26,852","9,086","59,375","19,174","88,136","46,994","57,516","31,552","36,867","29,523","32,385","32,146","34,435","30,454","34,359","31,793","32,362","31,989","32,166","39,169","34,680","45,705","40,456","55,227","46,872","64,275","23,634","48,609","16,945","37,194","13,269","44,157","9,749","40,635","4,811","19,935",705,"5,345",3,114,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0234,신도림,"3,627",15,"31,337","4,441","49,849","17,259","131,344","40,134","143,366","101,513","85,479","67,732","57,809","58,324","57,014","62,425","65,357","62,746","70,137","68,594","72,855","66,212","77,772","73,296","83,021","84,675","106,666","110,531","122,947","168,393","71,679","119,607","64,299","70,722","54,941","65,748","46,730","60,867","19,508","43,270","2,459","18,432",3,"2,490",0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0235,문래,9,2,"4,066","2,341","13,557","9,680","41,228","38,114","48,062","135,434","25,966","63,890","19,635","27,149","19,757","23,448","24,332","26,213","26,103","27,946","26,611","26,390","29,128","27,916","35,703","31,946","65,431","41,194","115,139","62,156","42,376","42,171","30,498","22,028","31,176","19,649","26,885","17,105","12,280","9,647","2,116","3,258",0,46,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0236,영등포구청,46,0,"4,698","2,693","12,063","12,914","36,937","37,198","49,618","117,686","29,731","50,980","22,009","27,655","23,507","24,690","26,329","25,740","27,898","29,803","29,117","27,170","31,826","27,783","37,540","30,308","57,457","39,666","99,395","58,154","37,956","39,389","29,182","23,638","26,315","20,886","19,778","18,217","9,010","11,633","1,550","4,277",1,62,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0237,당산,35,7,"7,099","3,309","16,822","12,628","43,020","24,200","53,698","72,743","31,815","29,334","22,759","15,729","22,228","15,583","23,417","17,886","23,491","20,496","21,637","20,260","22,218","23,548","27,430","29,423","39,078","45,423","55,343","70,574","23,795","48,087","19,331","32,246","18,429","30,489","15,210","27,558","7,833","17,135","1,385","4,123",3,37,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0238,합정,79,11,"8,759","2,511","13,940","11,025","35,208","28,481","48,314","89,844","31,305","80,300","23,477","49,017","26,521","47,882","32,240","51,055","37,267","58,693","39,724","53,260","44,741","53,435","53,161","62,585","73,691","80,239","111,177","109,675","75,941","73,465","62,239","39,926","70,625","32,730","64,862","28,011","33,387","18,518","5,644","7,057",1,123,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0239,홍대입구,780,43,"21,793","3,021","26,218","15,265","55,257","34,684","72,567","102,515","54,268","121,110","49,386","106,066","58,079","132,987","68,742","159,902","82,220","176,839","93,951","167,647","116,876","165,870","147,443","169,428","176,237","187,663","209,053","218,033","178,892","156,323","173,840","93,232","194,641","71,977","180,530","58,259","88,452","40,542","11,036","14,432",7,"1,767",0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0240,신촌,46,0,"5,198","2,398","12,070","14,520","32,595","29,800","47,859","70,256","34,588","84,586","34,058","61,783","41,831","59,080","53,463","59,726","57,125","70,195","60,269","60,873","67,009","57,639","77,963","61,875","91,137","76,760","92,128","102,349","65,220","69,807","66,451","41,030","66,334","35,841","63,887","31,089","30,570","20,420","4,845","5,206",0,50,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0241,이대,10,1,"2,833",700,"8,178","5,837","25,516","12,097","36,680","37,604","21,678","32,466","17,787","24,417","19,005","21,172","24,509","24,099","24,809","27,586","23,096","24,711","25,583","24,646","29,643","25,868","38,671","31,719","35,916","43,931","22,178","32,562","17,324","21,748","16,560","20,770","15,280","18,997","5,344","12,714",665,"3,782",0,34,0,0,0,0,2025-03-03 16:39:16
2025-02,2호선,0242,아현,15,0,"3,890",705,"9,618","4,014","26,930","7,374","40,182","16,484","23,044","12,573","16,553","10,019","14,958","9,332","16,832","10,874","15,946","12,580","14,366","13,738","15,192","15,472","16,022","18,043","18,229","22,833","18,401","33,280","11,356","25,464","8,244","16,639","6,244","15,918","4,487","13,943","1,961","7,659",291,"2,301",0,8,0,0,0,0,2025-03-03 16:39:16
